ID,PBT_ALLOWED,PBT_PASSED,PBT_READING,PBT_TOLERANT
4901693,16000,true,610,16800
4901694,23000,true,6760,24150
4901695,23000,true,7200,24150
4901697,23000,true,7100,24150
4901698,48000,true,33100,50400
4901700,26000,true,13200,27300
4901701,29000,true,16500,30450
4901702,16000,true,1430,16800
4901703,33000,true,5130,34650
4901704,16000,true,890,16800
4901705,16000,true,1070,16800
4901706,16000,true,680,16800
4901707,16000,true,6400,16800
4901709,16000,true,1000,16800
4901710,16000,true,1040,16800
4901711,16000,true,830,16800
4901712,16000,true,3330,16800
4901714,41000,true,27500,43050
4901716,16000,true,7400,16800
4901718,16000,true,1210,16800
4901719,60000,true,21700,63000
4901720,48000,true,33200,50400
4901721,16000,true,8900,16800
4901723,16000,true,11000,16800
4901724,16000,true,840,16800
4901725,16000,true,1000,16800
4901726,16000,true,8100,16800
4901727,16000,true,520,16800
4901728,16000,true,960,16800
4901729,48000,true,43100,50400
4901730,26000,true,12400,27300
4901732,16000,true,1160,16800
4901733,36000,true,15000,37800
4901735,16000,true,860,16800
4901736,48000,true,39300,50400
4901738,16000,true,760,16800
4901739,16000,true,860,16800
4901741,16000,true,810,16800
4901742,33000,true,12600,34650
4901743,29000,true,28300,30450
4901744,16000,true,980,16800
4901745,16000,true,1370,16800
4901746,16000,true,1080,16800
4901747,16000,true,1850,16800
4901748,16000,true,850,16800
4901749,16000,true,720,16800
4901750,16000,true,4400,16800
4901751,16000,true,4400,16800
4901752,16000,true,1610,16800
4901753,48000,true,36100,50400
4901754,16000,true,1150,16800
4901755,16000,true,8300,16800
4901756,16000,true,500,16800
4901757,16000,true,790,16800
4901759,16000,true,1170,16800
4901760,16000,true,410,16800
4901761,16000,true,1250,16800
4901763,16000,true,720,16800
4901764,23000,true,9600,24150
4901765,16000,true,600,16800
4901767,16000,true,1180,16800
4901768,16000,true,7000,16800
4901769,16000,true,2570,16800
4901770,16000,true,2570,16800
4901771,16000,true,1070,16800
4901772,16000,true,1060,16800
4901773,16000,true,1460,16800
4901774,29000,true,18800,30450
4901775,16000,true,7000,16800
4901777,16000,true,820,16800
4901778,16000,true,2360,16800
4901779,16000,true,570,16800
4901780,16000,true,510,16800
4901781,16000,true,3690,16800
4901782,16000,true,950,16800
4901786,16000,true,6600,16800
4901787,16000,true,1300,16800
4901792,16000,true,5200,16800
4901793,16000,true,2570,16800
4901794,16000,true,910,16800
4901795,16000,true,2520,16800
4901797,16000,true,9100,16800
4901799,16000,true,2560,16800
4901801,16000,true,1050,16800
4901803,16000,true,990,16800
4901804,16000,true,1330,16800
4901805,16000,true,10100,16800
4901806,16000,true,1170,16800
4901807,23000,true,13400,24150
4901808,16000,true,920,16800
4901810,26000,true,13100,27300
4901811,23000,true,16200,24150
4901812,16000,true,1160,16800
4901813,16000,true,700,16800
4901814,16000,true,500,16800
4901816,23000,true,7800,24150
4901817,16000,true,690,16800
4901818,16000,true,710,16800
4901819,16000,true,10700,16800
4901822,16000,true,16300,16800
4901823,16000,true,4740,16800
4901824,16000,true,1040,16800
4901825,16000,true,6500,16800
4901826,26000,true,1010,27300
4901827,16000,true,8100,16800
4901828,16000,true,2520,16800
4901829,16000,true,930,16800
4901832,16000,true,8900,16800
4901833,16000,true,2810,16800
4901834,16000,true,570,16800
4901836,33000,true,13400,34650
4901837,57000,true,35200,59850
4901838,33000,true,12900,34650
4901839,41000,true,31300,43050
4901840,23000,true,15500,24150
4901841,16000,true,1210,16800
4901843,16000,true,600,16800
4901844,16000,true,550,16800
4901845,16000,true,8900,16800
4901847,16000,true,2310,16800
4901848,16000,true,910,16800
4901849,16000,true,700,16800
4901850,33000,true,14900,34650
4901851,16000,true,900,16800
4901853,16000,true,1910,16800
4901855,16000,true,950,16800
4901856,16000,true,1380,16800
4901857,16000,true,1010,16800
4901858,16000,true,1040,16800
4901860,16000,true,940,16800
4901861,16000,true,1000,16800
4901862,48000,true,43900,50400
4901863,16000,true,1320,16800
4901865,26000,true,10700,27300
4901866,16000,true,1240,16800
4901867,16000,true,5800,16800
4901868,16000,true,670,16800
4901869,16000,true,2270,16800
4901870,16000,true,5900,16800
4901871,16000,true,980,16800
4901873,16000,true,1030,16800
4901874,16000,true,1960,16800
4901875,16000,true,1580,16800
4901876,16000,true,1800,16800
4901877,23000,true,13300,24150
4901878,23000,true,7500,24150
4901879,16000,true,1250,16800
4901880,16000,true,860,16800
4901881,16000,true,1070,16800
4901882,23000,true,11400,24150
4901883,16000,true,870,16800
4901884,16000,true,1210,16800
4901885,16000,true,1140,16800
4901887,16000,true,900,16800
4901888,16000,true,2580,16800
4901889,16000,true,760,16800
4901890,16000,true,1190,16800
4901891,16000,true,2160,16800
4901893,16000,true,690,16800
4901894,16000,true,1270,16800
4901895,16000,true,780,16800
4901896,16000,true,1780,16800
4901897,16000,true,2450,16800
4901898,16000,true,1190,16800
4901899,16000,true,1320,16800
4901900,16000,true,8200,16800
4901902,16000,true,750,16800
4901903,33000,true,15700,34650
4901904,16000,true,1480,16800
4901906,16000,true,970,16800
4901907,16000,true,1020,16800
4901908,16000,true,2520,16800
4901909,16000,true,500,16800
4901912,16000,true,910,16800
4901913,36000,true,14100,37800
4901914,16000,true,1040,16800
4901915,23000,true,17500,24150
4901918,16000,true,820,16800
4901919,16000,true,1920,16800
4901920,16000,true,2430,16800
4901921,16000,true,810,16800
4901923,16000,true,1040,16800
4901925,16000,true,8800,16800
4901926,41000,true,16700,43050
4901927,16000,true,1340,16800
4901928,16000,true,2120,16800
4901929,16000,true,2520,16800
4901930,16000,true,2480,16800
4901931,16000,true,2480,16800
4901932,16000,true,430,16800
4901934,16000,true,8600,16800
4901936,16000,true,5800,16800
4901937,33000,true,13000,34650
4901938,41000,true,31200,43050
4901939,23000,true,14800,24150
4901940,36000,true,15300,37800
4901941,16000,true,1050,16800
4901942,16000,true,7800,16800
4901943,23000,true,8700,24150
4901944,16000,true,670,16800
4901946,16000,true,1650,16800
4901947,50000,true,38600,52500
4901948,48000,true,30500,50400
4901949,16000,true,1430,16800
4901950,16000,true,1990,16800
4901951,16000,true,1040,16800
4901953,16000,true,1340,16800
4901954,16000,true,800,16800
4901955,16000,true,770,16800
4901956,16000,true,970,16800
4901957,16000,true,1060,16800
4901958,16000,true,7600,16800
4901959,16000,true,8400,16800
4901960,16000,true,5200,16800
4901961,16000,true,5700,16800
4901963,16000,true,750,16800
4901964,16000,true,2470,16800
4901965,23000,true,12500,24150
4901967,16000,true,720,16800
4901969,16000,true,970,16800
4901972,16000,true,980,16800
4901973,16000,true,4200,16800
4901977,23000,true,13900,24150
4901979,16000,true,1500,16800
4901980,16000,true,720,16800
4901981,16000,true,1110,16800
4901982,16000,true,1580,16800
4901983,16000,true,920,16800
4901984,16000,true,2470,16800
4901985,16000,true,640,16800
4901987,16000,true,770,16800
4901988,33000,true,12200,34650
4901989,16000,true,930,16800
4901990,16000,true,910,16800
4901991,23000,true,4440,24150
4901994,16000,true,1930,16800
4901995,23000,true,7000,24150
4901998,48000,true,30400,50400
4902000,23000,true,6500,24150
4902002,16000,true,1000,16800
4902003,16000,true,390,16800
4902005,16000,true,6200,16800
4902006,16000,true,1100,16800
4902007,16000,true,7200,16800
4902008,16000,true,5000,16800
4902010,16000,true,1870,16800
4902011,16000,true,4700,16800
4902012,16000,true,670,16800
4902013,16000,true,1300,16800
4902014,16000,true,1450,16800
4902015,57000,true,39900,59850
4902016,16000,true,7500,16800
4902017,16000,true,2470,16800
4902018,23000,true,10500,24150
4902019,16000,true,7000,16800
4902020,16000,true,2470,16800
4902021,16000,true,550,16800
4902022,16000,true,1340,16800
4902023,16000,true,6800,16800
4902024,16000,true,790,16800
4902025,16000,true,1100,16800
4902026,16000,true,650,16800
4902027,16000,true,11500,16800
4902028,23000,true,7500,24150
4902029,48000,true,37100,50400
4902030,41000,true,26500,43050
4902031,48000,true,34800,50400
4902032,16000,true,1730,16800
4902033,16000,true,9000,16800
4902035,16000,true,900,16800
4902037,33000,true,14600,34650
4902039,16000,true,2280,16800
4902040,16000,true,1030,16800
4902042,16000,true,1550,16800
4902043,16000,true,660,16800
4902044,16000,true,1820,16800
4902045,33000,true,13700,34650
4902046,33000,true,13000,34650
4902047,33000,true,22000,34650
4902048,16000,true,8300,16800
4902051,16000,true,7700,16800
4902052,73000,true,55100,76650
4902054,16000,true,860,16800
4902055,16000,true,7100,16800
4902057,26000,true,12400,27300
4902059,23000,true,10100,24150
4902060,23000,true,21800,24150
4902062,16000,true,720,16800
4902063,16000,true,1000,16800
4902067,16000,true,550,16800
4902068,16000,true,770,16800
4902069,16000,true,4700,16800
4902070,16000,true,670,16800
4902071,23000,true,13700,24150
4902074,16000,true,9100,16800
4902075,33000,true,11700,34650
4902076,16000,true,830,16800
4902077,16000,true,7700,16800
4902078,16000,true,1000,16800
4902079,16000,true,1030,16800
4902080,16000,true,1750,16800
4902081,16000,true,810,16800
4902084,16000,true,2510,16800
4902085,16000,true,8400,16800
4902086,16000,true,980,16800
4902091,16000,true,1280,16800
4902093,16000,true,790,16800
4902094,23000,true,13900,24150
4902095,16000,true,1690,16800
4902096,16000,true,910,16800
4902097,16000,true,1270,16800
4902098,16000,true,950,16800
4902099,16000,true,2660,16800
4902100,16000,true,980,16800
4902101,16000,true,470,16800
4902102,16000,true,2870,16800
4902103,16000,true,7900,16800
4902104,16000,true,970,16800
4902105,16000,true,800,16800
4902106,16000,true,1760,16800
4902107,16000,true,1540,16800
4902109,16000,true,2370,16800
4902110,16000,true,820,16800
4902111,16000,true,1520,16800
4902112,16000,true,5800,16800
4902113,16000,true,900,16800
4902116,33000,true,10900,34650
4902117,23000,true,9000,24150
4902118,23000,true,6400,24150
4902119,16000,true,540,16800
4902120,26000,true,14400,27300
4902121,16000,true,770,16800
4902123,16000,true,470,16800
4902124,41000,true,31000,43050
4902125,16000,true,10600,16800
4902127,16000,true,1660,16800
4902128,16000,true,1450,16800
4902129,16000,true,870,16800
4902130,23000,true,19400,24150
4902131,16000,true,1450,16800
4902132,16000,true,530,16800
4902133,57000,true,21100,59850
4902134,16000,true,710,16800
4902135,23000,true,16700,24150
4902136,16000,true,11800,16800
4902138,29000,true,11100,30450
4902139,16000,true,8600,16800
4902140,41000,true,32600,43050
4902141,16000,true,640,16800
4902142,23000,true,15700,24150
4902143,26000,true,12200,27300
4902144,16000,true,8500,16800
4902146,16000,true,580,16800
4902147,16000,true,7200,16800
4902148,43000,true,13300,45150
4902149,16000,true,2180,16800
4902150,16000,true,510,16800
4902152,48000,true,33900,50400
4902153,16000,true,940,16800
4902154,74000,true,58300,77700
4902155,16000,true,2420,16800
4902156,16000,true,2370,16800
4902157,16000,true,2370,16800
4902158,16000,true,2370,16800
4902159,16000,true,2070,16800
4902160,48000,true,21500,50400
4902161,48000,true,47400,50400
4902162,16000,true,930,16800
4902163,16000,true,5000,16800
4902164,16000,true,830,16800
4902165,33000,true,10300,34650
4902166,16000,true,1330,16800
4902167,16000,true,700,16800
4902168,16000,true,1000,16800
4902169,16000,true,840,16800
4902170,23000,true,16300,24150
4902171,16000,true,1760,16800
4902172,16000,true,1100,16800
4902173,16000,true,3900,16800
4902174,16000,true,1010,16800
4902175,16000,true,1520,16800
4902177,16000,true,6100,16800
4902178,16000,true,1240,16800
4902179,16000,true,1380,16800
4902180,16000,true,1070,16800
4902181,23000,true,16100,24150
4902182,16000,true,470,16800
4902183,16000,true,810,16800
4902184,16000,true,8500,16800
4902186,33000,true,12300,34650
4902187,16000,true,1660,16800
4902188,16000,true,950,16800
4902189,23000,true,17100,24150
4902190,16000,true,900,16800
4902191,16000,true,12200,16800
4902192,16000,true,1090,16800
4902193,16000,true,1950,16800
4902194,48000,true,40700,50400
4902195,16000,true,920,16800
4902196,16000,true,2390,16800
4902197,73000,true,52200,76650
4902198,41000,true,31600,43050
4902199,16000,true,1810,16800
4902200,16000,true,940,16800
4902201,33000,true,11500,34650
4902202,16000,true,2810,16800
4902203,16000,true,6100,16800
4902205,57000,true,37200,59850
4902208,23000,true,7170,24150
4902211,23000,true,8600,24150
4902213,26000,true,14600,27300
4902214,16000,true,690,16800
4902215,16000,true,8100,16800
4902217,16000,true,6600,16800
4902218,16000,true,1960,16800
4902220,16000,true,9900,16800
4902221,16000,true,1280,16800
4902222,23000,true,1880,24150
4902223,16000,true,1190,16800
4902224,33000,true,11800,34650
4902226,16000,true,1260,16800
4902227,57000,true,43400,59850
4902228,16000,true,930,16800
4902229,43000,true,18500,45150
4902230,23000,true,4740,24150
4902231,57000,true,41500,59850
4902232,57000,true,40200,59850
4902233,16000,true,940,16800
4902234,16000,true,1790,16800
4902236,16000,true,930,16800
4902237,16000,true,1070,16800
4902238,16000,true,5800,16800
4902240,16000,true,3790,16800
4902242,16000,true,2390,16800
4902243,33000,true,13200,34650
4902245,16000,true,960,16800
4902246,16000,true,7300,16800
4902248,23000,true,16200,24150
4902249,16000,true,2240,16800
4902250,16000,true,1080,16800
4902251,57000,true,41800,59850
4902252,16000,true,580,16800
4902253,36000,true,14100,37800
4902254,16000,true,12000,16800
4902256,23000,true,5480,24150
4902257,26000,true,16100,27300
4902258,16000,true,1100,16800
4902259,33000,true,21800,34650
4902260,16000,true,1250,16800
4902261,16000,true,7500,16800
4902262,16000,true,2390,16800
4902263,16000,true,2350,16800
4902264,26000,true,12600,27300
4902266,23000,true,9500,24150
4902267,33000,true,14000,34650
4902268,33000,true,11500,34650
4902269,16000,true,4720,16800
4902270,16000,true,1840,16800
4902271,16000,true,2920,16800
4902272,33000,true,12500,34650
4902273,16000,true,9500,16800
4902274,16000,true,2330,16800
4902275,16000,true,530,16800
4902277,16000,true,970,16800
4902278,33000,true,10600,34650
4902279,16000,true,980,16800
4902281,16000,true,2070,16800
4902282,16000,true,940,16800
4902283,41000,true,38600,43050
4902284,16000,true,3750,16800
4902285,16000,true,920,16800
4902286,16000,true,2610,16800
4902288,26000,true,13000,27300
4902289,16000,true,960,16800
4902291,16000,true,1820,16800
4902292,16000,true,1540,16800
4902293,16000,true,1640,16800
4902295,48000,true,28400,50400
4902296,16000,true,1690,16800
4902299,16000,true,9700,16800
4902300,23000,true,10100,24150
4902301,16000,true,2670,16800
4902303,23000,true,5600,24150
4902304,16000,true,2350,16800
4902305,16000,true,2350,16800
4902306,16000,true,11300,16800
4902308,16000,true,580,16800
4902309,16000,true,990,16800
