VBVID,VehicleLenght,VehicleSpeed,VehicleWeight,VehicleAxles,VehicleAxleWeight01,VehicleAxleWeight02,VehicleAxleWeight03,VehicleAxleWeight04,VehicleAxleWeight05,VehicleAxleWeight06,VehicleAxleWeight07,VehicleAxleWeight08,VehicleAxleWeight09,VehicleAxleWeight10,VehicleAxleWeight11,VehileAxelDistance0102,VehileAxelDistance0203,VehileAxelDistance0304,VehileAxelDistance0405,VehileAxelDistance0506,VehileAxelDistance0607,VehileAxelDistance0708,VehileAxelDistance0809,VehileAxelDistance0910,VehileAxelDistance1011
4903512,12700,76,20400,3,5900,7700,6800,0,0,0,0,0,0,0,0,7000,1200,0,0,0,0,0,0,0,0
4903513,4000,99,980,2,650,330,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903514,4200,93,1180,2,640,540,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903515,3200,161,1040,2,110,930,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,0
4903516,17600,87,15100,4,3800,5400,3600,2300,0,0,0,0,0,0,0,3700,9150,1250,0,0,0,0,0,0,0
4903517,4200,101,1760,2,1040,720,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903518,4400,103,1290,2,800,490,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0
4903519,4500,93,800,2,450,350,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903520,4500,110,1930,2,1010,920,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903521,7600,82,2640,2,1270,1370,0,0,0,0,0,0,0,0,0,4850,0,0,0,0,0,0,0,0,0
4903522,16000,73,14100,5,3200,4000,1700,2000,3200,0,0,0,0,0,0,4150,1300,6350,1200,0,0,0,0,0,0
4903523,12700,75,9100,3,2200,2600,4300,0,0,0,0,0,0,0,0,4550,5250,0,0,0,0,0,0,0,0
4903524,4400,93,1030,2,690,340,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903525,15800,95,10400,4,3300,2900,2700,1500,0,0,0,0,0,0,0,4450,6900,1200,0,0,0,0,0,0,0
4903526,18500,82,55300,7,5200,8000,8500,8300,8600,8200,8500,0,0,0,0,3050,1300,5150,1200,3450,1200,0,0,0,0
4903527,4300,83,1610,2,1030,580,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903528,4400,114,1400,2,800,600,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903529,7800,83,5000,2,2100,2900,0,0,0,0,0,0,0,0,0,4250,0,0,0,0,0,0,0,0,0
4903530,4300,122,950,2,520,430,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903531,4200,89,1000,2,600,400,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
