TRUCK_ID,ALLOWED,PASSED,READING,TOLERANT
4901519,6000,true,960,6750
4901519,10000,true,900,11250
4901520,6000,true,1010,6750
4901520,10000,true,890,11250
4901521,6000,true,4900,6750
4901521,17000,true,15200,19125
4901521,17000,false,20600,19125
4901521,10000,true,10500,11250
4901522,6000,true,5300,6750
4901522,17000,true,12000,19125
4901522,25000,false,28800,28125
4901523,6000,true,1170,6750
4901523,10000,true,840,11250
4901524,6000,true,620,6750
4901524,10000,true,590,11250
4901525,6000,true,2800,6750
4901525,10000,true,4100,11250
4901526,6000,true,1070,6750
4901526,10000,true,830,11250
4901527,6000,true,650,6750
4901527,10000,true,380,11250
4901528,6000,true,560,6750
4901528,10000,true,340,11250
4901529,6000,true,770,6750
4901529,10000,true,490,11250
4901531,6000,true,1550,6750
4901531,10000,true,1100,11250
4901533,6000,true,4300,6750
4901533,10000,true,3900,11250
4901533,17000,true,5700,19125
4901534,6000,true,410,6750
4901534,10000,true,300,11250
4901535,6000,true,1070,6750
4901535,10000,true,840,11250
4901536,6000,true,6000,6750
4901536,17000,true,12000,19125
4901537,6000,true,1690,6750
4901537,10000,true,1090,11250
4901538,6000,true,760,6750
4901538,10000,true,490,11250
4901539,6000,true,3200,6750
4901539,10000,true,4500,11250
4901540,6000,true,370,6750
4901540,10000,true,250,11250
4901541,6000,true,3500,6750
4901541,10000,true,5600,11250
4901543,12000,true,3200,13500
4901543,10000,true,4300,11250
4901544,6000,true,4800,6750
4901544,10000,true,6700,11250
4901545,6000,true,700,6750
4901545,10000,true,460,11250
4901546,6000,true,740,6750
4901546,10000,true,710,11250
4901547,6000,true,5700,6750
4901547,10000,true,7400,11250
4901549,6000,true,1550,6750
4901549,10000,true,1100,11250
4901552,6000,true,4900,6750
4901552,17000,true,16900,19125
4901552,10000,true,10000,11250
4901552,17000,true,15700,19125
4901554,6000,true,350,6750
4901554,10000,true,260,11250
4901555,6000,true,4900,6750
4901555,17000,true,14700,19125
4901555,25000,true,23100,28125
4901556,6000,true,1800,6750
4901556,10000,true,3500,11250
4901556,17000,true,3900,19125
4901558,6000,true,980,6750
4901558,10000,true,880,11250
4901560,6000,true,3600,6750
4901560,10000,true,6100,11250
4901560,10000,true,2700,11250
4901560,10000,true,2500,11250
4901561,6000,true,2300,6750
4901561,10000,true,3500,11250
4901562,6000,true,780,6750
4901562,10000,true,500,11250
4901563,6000,true,450,6750
4901563,10000,true,510,11250
4901564,6000,true,760,6750
4901564,10000,true,520,11250
4901566,6000,true,4500,6750
4901566,17000,true,14900,19125
4901567,6000,true,3100,6750
4901567,17000,true,6300,19125
4901568,6000,true,3000,6750
4901568,17000,true,4500,19125
4901569,6000,true,340,6750
4901569,10000,true,260,11250
4901570,6000,true,840,6750
4901570,10000,true,590,11250
4901571,6000,true,5200,6750
4901571,10000,true,6300,11250
4901571,17000,true,13100,19125
4901572,6000,true,4600,6750
4901572,17000,true,11500,19125
4901573,6000,true,2500,6750
4901573,10000,true,2900,11250
4901574,6000,true,2500,6750
4901574,10000,true,5600,11250
4901575,6000,true,2900,6750
4901575,10000,true,3300,11250
4901577,6000,true,630,6750
4901577,10000,true,320,11250
4901578,6000,true,630,6750
4901578,10000,true,520,11250
4901579,6000,true,820,6750
4901579,10000,true,510,11250
4901580,6000,true,560,6750
4901580,10000,true,360,11250
4901581,6000,true,600,6750
4901581,10000,true,360,11250
4901582,6000,true,550,6750
4901582,10000,true,360,11250
4901583,6000,true,630,6750
4901583,10000,true,520,11250
4901584,6000,true,740,6750
4901584,10000,true,670,11250
4901585,6000,true,630,6750
4901585,10000,true,480,11250
4901586,6000,true,560,6750
4901586,10000,true,310,11250
4901587,6000,true,400,6750
4901587,10000,true,430,11250
4901589,6000,true,1130,6750
4901589,10000,true,530,11250
4901590,6000,true,1530,6750
4901590,10000,true,830,11250
4901591,6000,true,630,6750
4901591,10000,true,500,11250
4901592,6000,true,3800,6750
4901592,10000,true,3800,11250
4901592,10000,true,5600,11250
4901594,6000,true,1800,6750
4901594,10000,true,4700,11250
4901595,6000,true,610,6750
4901595,10000,true,350,11250
4901596,6000,true,560,6750
4901596,10000,true,270,11250
4901597,6000,true,1550,6750
4901597,10000,true,1100,11250
4901598,6000,true,1550,6750
4901598,10000,true,1100,11250
4901599,6000,true,530,6750
4901599,10000,true,390,11250
4901601,6000,true,510,6750
4901601,10000,true,420,11250
4901602,6000,true,3400,6750
4901602,10000,true,6900,11250
4901602,17000,true,4700,19125
4901603,6000,true,840,6750
4901603,10000,true,1200,11250
4901604,6000,true,480,6750
4901604,10000,true,310,11250
4901605,6000,true,530,6750
4901605,10000,true,350,11250
4901606,6000,true,470,6750
4901606,10000,true,480,11250
4901607,6000,true,580,6750
4901607,10000,true,350,11250
4901609,6000,true,620,6750
4901609,10000,true,330,11250
4901610,6000,true,640,6750
4901610,10000,true,470,11250
4901611,6000,true,320,6750
4901611,10000,true,190,11250
4901612,6000,true,590,6750
4901612,10000,true,510,11250
4901614,6000,true,620,6750
4901614,10000,true,440,11250
4901615,6000,true,540,6750
4901615,10000,true,300,11250
4901616,6000,true,560,6750
4901616,10000,true,430,11250
4901617,6000,true,700,6750
4901617,10000,true,410,11250
4901618,6000,true,360,6750
4901618,10000,true,250,11250
4901619,6000,true,740,6750
4901619,10000,true,700,11250
4901620,6000,true,2460,6750
4901620,10000,true,1990,11250
4901621,6000,true,580,6750
4901621,10000,true,380,11250
4901622,6000,true,3500,6750
4901622,10000,true,7300,11250
4901622,17000,true,12000,19125
4901623,6000,true,1800,6750
4901623,10000,true,4400,11250
4901623,25000,true,9400,28125
4901624,6000,true,1550,6750
4901624,10000,true,1100,11250
4901625,6000,true,3900,6750
4901625,17000,true,14900,19125
4901625,25000,true,21400,28125
4901626,6000,true,700,6750
4901626,10000,true,460,11250
4901628,6000,true,470,6750
4901628,10000,true,300,11250
4901629,6000,true,6200,6750
4901629,17000,true,9500,19125
4901630,6000,true,1430,6750
4901630,10000,true,1510,11250
4901631,6000,true,4400,6750
4901631,10000,true,5900,11250
4901632,6000,true,320,6750
4901632,10000,true,210,11250
4901634,6000,true,610,6750
4901634,10000,true,350,11250
4901635,6000,true,650,6750
4901635,10000,true,410,11250
4901637,6000,true,1410,6750
4901637,10000,true,2130,11250
4901638,6000,true,1030,6750
4901638,10000,true,610,11250
4901642,6000,true,4100,6750
4901642,10000,true,3400,11250
4901643,6000,true,440,6750
4901643,10000,true,290,11250
4901644,6000,true,2000,6750
4901644,10000,true,3600,11250
4901645,6000,true,4100,6750
4901645,10000,true,6000,11250
4901647,6000,true,900,6750
4901647,10000,true,420,11250
4901648,6000,true,570,6750
4901648,10000,true,510,11250
4901649,6000,true,3800,6750
4901649,10000,true,6600,11250
4901650,6000,true,1200,6750
4901650,17000,true,4800,19125
4901651,6000,true,640,6750
4901651,10000,true,440,11250
4901652,6000,true,580,6750
4901652,10000,true,480,11250
4901655,6000,true,620,6750
4901655,10000,true,380,11250
4901656,6000,true,430,6750
4901656,10000,true,340,11250
4901657,6000,true,520,6750
4901657,10000,true,400,11250
4901658,6000,true,590,6750
4901658,10000,true,320,11250
4901663,6000,true,760,6750
4901663,10000,true,440,11250
4901665,6000,true,540,6750
4901665,10000,true,340,11250
4901666,6000,true,390,6750
4901666,10000,true,290,11250
4901667,6000,true,2700,6750
4901667,17000,true,7200,19125
4901668,6000,true,950,6750
4901668,10000,true,550,11250
4901669,6000,true,2500,6750
4901669,10000,true,4900,11250
4901670,6000,true,1030,6750
4901670,10000,true,640,11250
4901673,6000,true,1020,6750
4901673,10000,true,730,11250
4901674,6000,true,780,6750
4901674,10000,true,820,11250
4901675,6000,true,260,6750
4901675,10000,true,220,11250
4901676,6000,true,770,6750
4901676,10000,true,440,11250
4901678,6000,true,4700,6750
4901678,10000,true,4100,11250
4901680,6000,true,700,6750
4901680,10000,true,520,11250
4901681,6000,true,600,6750
4901681,10000,true,330,11250
4901682,6000,true,1030,6750
4901682,10000,true,690,11250
4901683,6000,true,1500,6750
4901683,10000,true,1070,11250
4901684,6000,true,2900,6750
4901684,17000,true,4100,19125
4901685,6000,true,920,6750
4901685,10000,true,780,11250
4901686,6000,true,880,6750
4901686,10000,true,680,11250
4901687,6000,true,630,6750
4901687,10000,true,410,11250
4901689,6000,true,590,6750
4901689,10000,true,390,11250
4901690,6000,true,660,6750
4901690,10000,true,370,11250
4901691,6000,true,3700,6750
4901691,10000,true,6600,11250
4901691,25000,true,20400,28125
4901692,6000,true,4800,6750
4901692,17000,true,12900,19125
4901692,25000,true,23500,28125
4901693,6000,true,360,6750
4901693,10000,true,250,11250
4901694,6000,true,2380,6750
4901694,17000,true,4380,19125
4901695,6000,true,2700,6750
4901695,17000,true,4500,19125
4901697,6000,true,2900,6750
4901697,17000,true,4200,19125
4901698,6000,true,3700,6750
4901698,17000,true,11700,19125
4901698,25000,true,17700,28125
4901700,6000,true,3300,6750
4901700,10000,true,5600,11250
4901700,10000,true,4300,11250
4901701,12000,true,5800,13500
4901701,17000,true,10700,19125
4901702,6000,true,760,6750
4901702,10000,true,670,11250
4901703,6000,true,1430,6750
4901703,10000,true,1620,11250
4901703,17000,true,2080,19125
4901704,6000,true,530,6750
4901704,10000,true,360,11250
4901705,6000,true,600,6750
4901705,10000,true,470,11250
4901706,6000,true,380,6750
4901706,10000,true,300,11250
4901707,6000,true,3200,6750
4901707,10000,true,3200,11250
4901709,6000,true,520,6750
4901709,10000,true,480,11250
4901710,6000,true,560,6750
4901710,10000,true,480,11250
4901711,6000,true,480,6750
4901711,10000,true,350,11250
4901712,6000,true,1800,6750
4901712,10000,true,1530,11250
4901714,6000,true,5000,6750
4901714,10000,true,6300,11250
4901714,25000,true,16200,28125
4901716,6000,true,2800,6750
4901716,10000,true,4600,11250
4901718,6000,true,680,6750
4901718,10000,true,530,11250
4901719,6000,true,4300,6750
4901719,17000,true,6200,19125
4901719,10000,true,3700,11250
4901719,17000,true,3700,19125
4901719,10000,true,3800,11250
4901720,6000,true,2800,6750
4901720,17000,true,11800,19125
4901720,25000,true,18600,28125
4901721,6000,true,3600,6750
4901721,10000,true,5300,11250
4901723,6000,true,3800,6750
4901723,10000,true,7200,11250
4901724,6000,true,500,6750
4901724,10000,true,340,11250
4901725,6000,true,640,6750
4901725,10000,true,360,11250
4901726,6000,true,2900,6750
4901726,10000,true,5200,11250
4901727,6000,true,280,6750
4901727,10000,true,240,11250
4901728,6000,true,550,6750
4901728,10000,true,410,11250
4901729,6000,true,4900,6750
4901729,17000,true,15800,19125
4901729,25000,true,22400,28125
4901730,6000,true,3100,6750
4901730,10000,true,5200,11250
4901730,10000,true,4100,11250
4901732,6000,true,600,6750
4901732,10000,true,560,11250
4901733,6000,true,3200,6750
4901733,10000,true,6100,11250
4901733,10000,true,2400,11250
4901733,10000,true,3300,11250
4901735,6000,true,530,6750
4901735,10000,true,330,11250
4901736,6000,true,4100,6750
4901736,17000,true,13000,19125
4901736,25000,true,22200,28125
4901738,6000,true,450,6750
4901738,10000,true,310,11250
4901739,6000,true,480,6750
4901739,10000,true,380,11250
4901741,6000,true,540,6750
4901741,10000,true,270,11250
4901742,6000,true,3100,6750
4901742,10000,true,5600,11250
4901742,17000,true,3900,19125
4901743,12000,true,10500,13500
4901743,17000,true,17800,19125
4901744,6000,true,620,6750
4901744,10000,true,360,11250
4901745,6000,true,710,6750
4901745,10000,true,660,11250
4901746,6000,true,620,6750
4901746,10000,true,460,11250
4901747,6000,true,950,6750
4901747,10000,true,900,11250
4901748,6000,true,490,6750
4901748,10000,true,360,11250
4901749,6000,true,470,6750
4901749,10000,true,250,11250
4901750,6000,true,2280,6750
4901750,10000,true,2120,11250
4901751,6000,true,1600,6750
4901751,10000,true,2800,11250
4901752,6000,true,670,6750
4901752,10000,true,940,11250
4901753,6000,true,4300,6750
4901753,17000,true,13300,19125
4901753,25000,true,18500,28125
4901754,6000,true,640,6750
4901754,10000,true,510,11250
4901755,6000,true,3200,6750
4901755,10000,true,5100,11250
4901756,6000,true,300,6750
4901756,10000,true,200,11250
4901757,6000,true,490,6750
4901757,10000,true,300,11250
4901759,6000,true,650,6750
4901759,10000,true,520,11250
4901760,6000,true,280,6750
4901760,10000,true,130,11250
4901761,6000,true,720,6750
4901761,10000,true,530,11250
4901763,6000,true,460,6750
4901763,10000,true,260,11250
4901764,6000,true,3400,6750
4901764,17000,true,6200,19125
4901765,6000,true,360,6750
4901765,10000,true,240,11250
4901767,6000,true,600,6750
4901767,10000,true,580,11250
4901768,6000,true,2300,6750
4901768,10000,true,4700,11250
4901769,6000,true,1500,6750
4901769,10000,true,1070,11250
4901770,6000,true,1500,6750
4901770,10000,true,1070,11250
4901771,6000,true,630,6750
4901771,10000,true,440,11250
4901772,6000,true,650,6750
4901772,10000,true,410,11250
4901773,6000,true,770,6750
4901773,10000,true,690,11250
